0,batting_team,runs_scored,wickets_lost,
76,Team A,one,35,0.0
77,Team A,extra run,39,0.0
78,Team A,two,41,0.0
79,Team A,extra run,42,0.0
80,Team A,dot,42,0.0
81,Team A,one,43,0.0
82,Team A,extra run,44,0.0
83,Team A,one,45,0.0
84,Team A,one,46,0.0
85,Team A,four,50,0.0
86,Team A,dot,50,0.0
87,Team A,one,51,0.0
88,Team A,dot,51,0.0
89,Team A,six,57,0.0
90,Team A,one,58,0.0
91,Team A,one,59,0.0
92,Team A,one,60,0.0
93,Team A,four,64,0.0
94,Team A,one,65,0.0
95,Team A,dot,65,0.0
96,Team A,one,66,0.0
97,Team A,wicket,67,1.0
98,Team A,one,68,1.0
99,Team A,one,69,1.0
100,Team A,four,73,1.0
101,Team A,extra run,74,1.0
102,Team A,one,75,1.0
103,Team A,dot,75,1.0
104,Team A,four,79,1.0
105,Team A,one,80,1.0
106,Team A,one,81,1.0
107,Team A,dot,81,1.0
108,Team A,six,87,1.0
109,Team A,one,88,1.0
110,Team A,six,94,1.0
111,Team A,dot,94,1.0
112,Team A,four,98,1.0
113,Team A,four,102,1.0
114,Team A,wicket,103,2.0
115,Team A,two,105,2.0
116,Team A,dot,105,2.0
117,Team A,four,109,2.0
118,Team A,dot,109,2.0
119,Team A,dot,109,2.0
120,Team A,four,113,2.0
121,Team B,dot,0,0.0
122,Team B,one,1,0.0
123,Team B,one,2,0.0
124,Team B,four,6,0.0
125,Team B,four,10,0.0
126,Team B,one,11,0.0
127,Team B,dot,11,0.0
128,Team B,extra run,12,0.0
129,Team B,four,16,0.0
130,Team B,dot,16,0.0
131,Team B,four,20,0.0
132,Team B,four,24,0.0
133,Team B,one,25,0.0
134,Team B,four,29,0.0
135,Team B,dot,29,0.0
136,Team B,one,30,0.0
137,Team B,four,34,0.0
138,Team B,dot,34,0.0
139,Team B,one,35,0.0
140,Team B,dot,35,0.0
141,Team B,one,36,0.0
142,Team B,one,37,0.0
143,Team B,four,41,0.0
144,Team B,one,42,0.0
145,Team B,one,43,0.0
146,Team B,four,47,0.0
147,Team B,one,48,0.0
148,Team B,one,49,0.0
149,Team B,one,50,0.0
150,Team B,six,56,0.0
151,Team B,dot,56,0.0
152,Team B,wicket,57,1.0
153,Team B,dot,57,1.0
154,Team B,dot,57,1.0
155,Team B,dot,57,1.0
156,Team B,dot,57,1.0
157,Team B,one,58,1.0
158,Team B,four,62,1.0
159,Team B,dot,62,1.0
160,Team B,one,63,1.0
161,Team B,one,64,1.0
162,Team B,extra run,65,1.0
163,Team B,extra run,66,1.0
164,Team B,two,68,1.0
165,Team B,extra run,69,1.0
166,Team B,six,75,1.0
167,Team B,one,76,1.0
168,Team B,one,77,1.0
169,Team B,four,81,1.0
170,Team B,one,82,1.0
171,Team B,wicket,83,2.0
172,Team B,four,87,2.0
173,Team B,two,89,2.0
174,Team B,four,93,2.0
175,Team B,dot,93,2.0
176,Team B,one,94,2.0
177,Team B,one,95,2.0
178,Team B,one,96,2.0
179,Team B,one,97,2.0
180,Team B,six,103,2.0
181,Team A,four,4,0.0
182,Team A,two,6,0.0
183,Team A,dot,6,0.0
184,Team A,one,7,0.0
185,Team A,one,8,0.0
186,Team A,one,9,0.0
187,Team A,one,10,0.0
188,Team A,one,11,0.0
189,Team A,one,12,0.0
190,Team A,dot,12,0.0
191,Team A,wicket,13,1.0
192,Team A,one,14,1.0
193,Team A,extra run,15,1.0
194,Team A,one,16,1.0
195,Team A,dot,16,1.0
196,Team A,one,17,1.0
197,Team A,dot,17,1.0
198,Team A,dot,17,1.0
199,Team A,one,18,1.0
200,Team A,dot,18,1.0
201,Team A,dot,18,1.0
202,Team A,four,22,1.0
203,Team A,one,23,1.0
204,Team A,dot,23,1.0
205,Team A,one,24,1.0
206,Team A,two,26,1.0
207,Team A,dot,26,1.0
208,Team A,extra run,27,1.0
209,Team A,extra run,29,1.0
210,Team A,two,31,1.0
211,Team A,four,35,1.0
212,Team A,one,36,1.0
213,Team A,dot,36,1.0
214,Team A,dot,36,1.0
215,Team A,dot,36,1.0
216,Team A,dot,36,1.0
217,Team A,one,37,1.0
218,Team A,wicket,38,2.0
219,Team A,wicket,39,3.0
220,Team A,dot,39,3.0
221,Team A,one,40,3.0
222,Team A,four,44,3.0
223,Team A,two,46,3.0
224,Team A,one,47,3.0
225,Team A,extra run,52,3.0
226,Team A,one,53,3.0
227,Team A,two,55,3.0
228,Team A,one,56,3.0
229,Team A,two,58,3.0
230,Team A,dot,58,3.0
231,Team A,six,64,3.0
232,Team A,two,66,3.0
233,Team A,one,67,3.0
234,Team A,one,68,3.0
235,Team A,six,74,3.0
236,Team A,dot,74,3.0
237,Team A,dot,74,3.0
238,Team A,dot,74,3.0
239,Team A,one,75,3.0
240,Team A,dot,75,3.0
